Num_Test,ID_user,Ville,Input,Technologie_Reseau,Output,Date_Performance,Moment du ping,Latence,Jitter,IP_source,server_name,IP_destination,Port_source,Port_destination,PacketsLoss,Throuput
1,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:07.055690,113.97,0,192.168.229.241,Directory Server,62.113.204.104,59325,22124,0.0,2035.6234096692112
2,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:10.484239,88.83,25.14,192.168.229.241,Directory Server,62.113.204.104,54480,22124,0.0,2611.7302713047393
3,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:14.827554,83.82,5.010000000000005,192.168.229.241,Directory Server,62.113.204.104,53219,22124,0.0,2767.8358387019807
4,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:18.569732,141.55,57.73000000000002,192.168.229.241,Directory Server,62.113.204.104,60510,22124,0.0,1638.9968209113385
5,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:23.015790,142.07,0.5199999999999818,192.168.229.241,Directory Server,62.113.204.104,60511,22124,0.0,1632.9978179770537
6,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:26.485558,100.66,41.41,192.168.229.241,Directory Server,62.113.204.104,61172,22124,0.0,2304.7883965825554
7,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:30.327915,106.24,5.579999999999998,192.168.229.241,Directory Server,62.113.204.104,61173,22124,0.0,2183.734939759036
8,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:32.333292,105.76,0.47999999999998977,192.168.229.241,Directory Server,62.113.204.104,63161,22124,0.0,2193.6459909228442
9,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:34.366020,99.52,6.240000000000009,192.168.229.241,Directory Server,62.113.204.104,60385,22124,0.0,2331.1897106109327
10,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:36.253492,105.89,6.3700000000000045,192.168.229.241,Directory Server,62.113.204.104,60386,22124,0.0,2190.952875625649
11,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:38.006329,74.57,31.320000000000007,192.168.229.241,Directory Server,62.113.204.104,63481,22124,0.0,3111.170712082607
12,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:41.247283,229.66,155.09,192.168.229.241,Directory Server,62.113.204.104,63293,22124,0.0,1010.1889750065315
13,Amour,MEAUX,Midi,5G,Without headphones,2024-11-08 16:53:00.465376,2024-11-08 16:53:44.868195,147.39,82.27000000000001,192.168.229.241,Directory Server,62.113.204.104,53723,22124,0.0,1574.0552276273834
