Num_Test,ID_user,Ville,Input,Technologie_Reseau,Output,Date_Performance,Moment du ping,Latence,Jitter,IP_source,server_name,IP_destination,Port_source,Port_destination,PacketsLoss,Throuput
1,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:17.964277,18.47,0,10.68.252.10,Andre's UK Sound,139.162.251.38,53953,22124,0.0,12560.909583107743
2,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:19.890068,12.43,6.039999999999999,10.68.252.10,Andre's UK Sound,139.162.251.38,53954,22124,0.0,18664.521319388576
3,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:21.956000,14.78,2.3499999999999996,10.68.252.10,Andre's UK Sound,139.162.251.38,50195,22124,0.0,15696.887686062248
4,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:23.970322,14.28,0.5,10.68.252.10,Andre's UK Sound,139.162.251.38,50196,22124,0.0,16246.498599439778
5,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:25.907598,14.5,0.22000000000000064,10.68.252.10,Andre's UK Sound,139.162.251.38,55924,22124,0.0,16000.0
6,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:27.933490,14.97,0.47000000000000064,10.68.252.10,Andre's UK Sound,139.162.251.38,54280,22124,0.0,15497.661990647963
7,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:29.887715,12.04,2.9300000000000015,10.68.252.10,Andre's UK Sound,139.162.251.38,50311,22124,0.0,19269.102990033225
8,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:31.922072,14.11,2.0700000000000003,10.68.252.10,Andre's UK Sound,139.162.251.38,53083,22124,0.0,16442.23954642098
9,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:33.947494,15.55,1.4400000000000013,10.68.252.10,Andre's UK Sound,139.162.251.38,51686,22124,0.0,14919.614147909968
10,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:35.915442,14.48,1.0700000000000003,10.68.252.10,Andre's UK Sound,139.162.251.38,51687,22124,0.0,16022.099447513812
11,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:37.932390,13.62,0.8600000000000012,10.68.252.10,Andre's UK Sound,139.162.251.38,51688,22124,0.0,17033.773861967697
12,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:39.977881,16.77,3.1500000000000004,10.68.252.10,Andre's UK Sound,139.162.251.38,63888,22124,0.0,13834.22778771616
13,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:41.918284,15.54,1.2300000000000004,10.68.252.10,Andre's UK Sound,139.162.251.38,63889,22124,0.0,14929.21492921493
14,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:43.976985,16.25,0.7100000000000009,10.68.252.10,Andre's UK Sound,139.162.251.38,52273,22124,0.0,14276.923076923076
15,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:45.927098,12.09,4.16,10.68.252.10,Andre's UK Sound,139.162.251.38,64869,22124,0.0,19189.412737799834
16,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:47.930679,14.77,2.6799999999999997,10.68.252.10,Andre's UK Sound,139.162.251.38,65455,22124,0.0,15707.515233581586
17,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:49.946952,14.93,0.16000000000000014,10.68.252.10,Andre's UK Sound,139.162.251.38,65456,22124,0.0,15539.182853315473
18,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:51.991879,15.71,0.7800000000000011,10.68.252.10,Andre's UK Sound,139.162.251.38,50486,22124,0.0,14767.663908338636
19,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:53.940880,13.03,2.6800000000000015,10.68.252.10,Andre's UK Sound,139.162.251.38,56980,22124,0.0,17805.065234075213
20,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:55.897543,12.48,0.5499999999999989,10.68.252.10,Andre's UK Sound,139.162.251.38,56981,22124,0.0,18589.74358974359
21,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:57.910983,12.21,0.2699999999999996,10.68.252.10,Andre's UK Sound,139.162.251.38,57182,22124,0.0,19000.819000819
22,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:47:59.934708,13.87,1.6599999999999984,10.68.252.10,Andre's UK Sound,139.162.251.38,57011,22124,0.0,16726.7483777938
23,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:01.913186,12.52,1.3499999999999996,10.68.252.10,Andre's UK Sound,139.162.251.38,57012,22124,0.0,18530.351437699683
24,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:04.001303,15.86,3.34,10.68.252.10,Andre's UK Sound,139.162.251.38,64729,22124,0.0,14627.994955863809
25,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:05.933099,14.46,1.3999999999999986,10.68.252.10,Andre's UK Sound,139.162.251.38,55038,22124,0.0,16044.260027662516
26,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:07.911594,13.33,1.1300000000000008,10.68.252.10,Andre's UK Sound,139.162.251.38,55039,22124,0.0,17404.351087771942
27,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:09.928767,12.3,1.0299999999999994,10.68.252.10,Andre's UK Sound,139.162.251.38,59624,22124,0.0,18861.788617886177
28,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:11.932612,14.76,2.459999999999999,10.68.252.10,Andre's UK Sound,139.162.251.38,59625,22124,0.0,15718.157181571816
29,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:13.888966,12.44,2.3200000000000003,10.68.252.10,Andre's UK Sound,139.162.251.38,58083,22124,0.0,18649.51768488746
30,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:15.927369,13.56,1.120000000000001,10.68.252.10,Andre's UK Sound,139.162.251.38,53877,22124,0.0,17109.14454277286
31,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:17.921222,13.69,0.129999999999999,10.68.252.10,Andre's UK Sound,139.162.251.38,50384,22124,0.0,16946.676406135866
32,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:19.906449,12.53,1.1600000000000001,10.68.252.10,Andre's UK Sound,139.162.251.38,50385,22124,0.0,18515.562649640862
33,AMOUR,PARIS,Midi,Wifi,Without headphones,2024-11-15 16:47:14.447847,2024-11-15 16:48:21.986839,17.95,5.42,10.68.252.10,Andre's UK Sound,139.162.251.38,62707,22124,0.0,12924.791086350975
